target_screening_net_mw,plant_net_power_mw,closes_engineering_net,screening_net_power_mw,engineering_load_mw,gross_fusion_mw,charged_power_mw,direct_converted_power_mw,rejected_heat_mw,radiator_area_m2,midplane_field_t,mirror_ratio,loss_cone_fraction,plug_field_t,max_plug_field_t,alpha_collector_voltage_kv,proton_collector_voltage_kv,direct_conversion_efficiency,loss_cone_transport_scale,transport_loss_multiplier,collector_area_m2,assumed_collector_power_density_mw_m2,separatrix_radius_m,length_m,plasma_volume_m3,magnet_mass_proxy_tonnes,plug_coil_mass_proxy_tonnes,effective_magnet_mass_proxy_tonnes,neutron_wall_load_mw_m2,temperature_kev,ion_density_m3,confinement_s,warnings
50.0,-17.09221751720333,False,50.00000000000001,67.09221751720334,1054.714775624312,1052.615346780909,879.2380767761207,1066.4746200413088,54020.6635284008,12.51376209904275,5.0,0.10557280900008412,62.568810495213754,65.0,1800.0,15000.0,0.8352890535607258,3.0,0.3767184270002523,526.3076733904545,2.0,0.8089775521060798,8.089775521060798,16.632567131675575,348.96657444541285,501.1015739886043,850.0681484340171,0.04641471247646983,200.0,3.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.6 uses isotropic loss-cone proxy; direct conversion uses staged alpha/proton collector proxy
50.0,-21.39703746970484,False,50.0,71.39703746970484,1129.1002913981988,1126.8527968398212,941.247806174591,1144.773461560103,57986.773263095216,12.51376209904275,5.0,0.10557280900008412,62.568810495213754,65.0,1800.0,15000.0,0.8352890535607258,3.0,0.3767184270002523,563.4263984199106,2.0,0.827565353818552,8.27565353818552,17.805606623799065,371.9894261421465,501.1015739886043,873.0910001307508,0.04748117899313392,200.0,3.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.6 uses isotropic loss-cone proxy; direct conversion uses staged alpha/proton collector proxy
50.0,-24.279888108336834,False,50.0,74.27988810833683,1178.9904501919355,1176.643648369837,982.8375594250805,1197.2839187067389,60646.61127886634,10.576059280666431,5.0,0.10557280900008412,52.88029640333215,65.0,1800.0,15000.0,0.8352890535607258,3.0,0.3767184270002523,588.3218241849185,2.0,1.0507036645485295,10.507036645485295,36.44102746704776,529.9053305634405,357.9296957061458,887.8350262695864,0.03075695727193117,200.0,2.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.6 uses isotropic loss-cone proxy; direct conversion uses staged alpha/proton collector proxy
50.0,-29.43080212923614,False,50.0,79.43080212923614,1275.1804142215851,1272.6421445357594,1046.9449231072256,1298.1206132843993,65754.34197093373,12.51376209904275,5.0,0.10557280900008412,62.568810495213754,65.0,2400.0,15000.0,0.82265460687626,3.0,0.3767184270002523,636.3210722678797,2.0,0.8618175595812302,8.618175595812302,20.109250704280626,417.2022739474461,501.1015739886043,918.3038479360504,0.049446383439191444,200.0,3.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.6 uses isotropic loss-cone proxy; direct conversion uses staged alpha/proton collector proxy
50.0,-30.10082714910844,False,50.0,80.10082714910844,1279.4981922706029,1276.9513279694509,1066.6234661827145,1303.083601412648,66005.73464989048,12.51376209904275,5.0,0.10557280900008412,62.568810495213754,65.0,1800.0,15000.0,0.8352890535607258,3.0,0.3767184270002523,638.4756639847254,2.0,0.8627891723931466,8.627891723931466,20.177340897875816,418.5386572829349,501.1015739886043,919.6402312715392,0.04950212927439558,200.0,3.5e+20,12.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.6 uses isotropic loss-cone proxy; direct conversion uses staged alpha/proton collector proxy
50.0,-30.294659557470382,False,50.0,80.29465955747038,1312.5570074520504,1309.9443389811604,1081.0827237349924,1336.1708129447966,67681.71745124584,12.51376209904275,4.0,0.13397459621556135,50.055048396171,65.0,1800.0,15000.0,0.8252890535607258,3.0,0.46192378864668404,654.9721694905802,2.0,0.8701568012452553,8.701568012452553,20.698669484055536,428.770598155749,281.8696353685899,710.6402335243389,0.04992484356840003,200.0,3.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.6 uses isotropic loss-cone proxy; direct conversion uses staged alpha/proton collector proxy
50.0,-31.558817072731756,False,50.0,81.55881707273176,1313.2037522473072,1310.5897964192009,1075.8690409327885,1338.0722082786456,67778.0297643887,12.51376209904275,5.0,0.10557280900008412,62.568810495213754,65.0,1200.0,15000.0,0.8209044842804991,3.0,0.3767184270002523,655.2948982096004,2.0,0.8702996971276225,8.702996971276225,20.708868474790073,428.97077031765343,501.1015739886043,930.0723443062577,0.0499330421534867,200.0,3.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.6 uses isotropic loss-cone proxy; direct conversion uses staged alpha/proton collector proxy
50.0,-32.22845704491719,False,50.0,82.22845704491719,1314.517339830289,1311.9007692823327,1095.8163519394277,1340.045569030056,67877.98737722712,10.576059280666431,5.0,0.10557280900008412,52.88029640333215,65.0,1800.0,15000.0,0.8352890535607258,3.0,0.3767184270002523,655.9503846411664,2.0,1.0895126011477654,10.895126011477654,40.62998345649686,588.6304953760003,357.9296957061458,946.5601910821462,0.03189300052087584,200.0,2.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.6 uses isotropic loss-cone proxy; direct conversion uses staged alpha/proton collector proxy
50.0,-35.78116641928314,False,50.0,85.78116641928314,1385.5404056522555,1382.7824624067891,1137.5523630066439,1414.2503204691925,71636.71715323148,12.51376209904275,5.0,0.10557280900008412,62.568810495213754,65.0,2400.0,15000.0,0.82265460687626,3.0,0.3767184270002523,691.3912312033946,2.0,0.885994839860843,8.85994839860843,21.84959796075596,451.35948438723835,501.1015739886043,952.4610583758426,0.05083354370058532,200.0,3.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.6 uses isotropic loss-cone proxy; direct conversion uses staged alpha/proton collector proxy
50.0,-38.305607002941684,False,50.0,88.30560700294168,1430.546108393815,1427.6985804827716,1172.0041669192103,1461.5439954196586,74032.30693428201,12.51376209904275,5.0,0.10557280900008412,62.568810495213754,65.0,1200.0,15000.0,0.8209044842804991,3.0,0.3767184270002523,713.8492902413858,2.0,0.8954858906831757,8.954858906831758,22.55932573688779,465.2890728151235,501.1015739886043,966.3906468037278,0.051378088346937106,200.0,3.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.6 uses isotropic loss-cone proxy; direct conversion uses staged alpha/proton collector proxy
50.0,-38.74606209987657,False,50.0,88.74606209987657,1459.254807608314,1456.3501345120696,1201.9098241645017,1490.548129062876,75501.46758286108,12.51376209904275,4.0,0.13397459621556135,50.055048396171,65.0,1800.0,15000.0,0.8252890535607258,3.0,0.46192378864668404,728.1750672560348,2.0,0.9014365676215301,9.014365676215302,23.012054169241072,474.174621534456,281.8696353685899,756.0442569030458,0.05171950568097194,200.0,3.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; mirror/nozzle v0.6 uses isotropic loss-cone proxy; direct conversion uses staged alpha/proton collector proxy
