target_screening_net_mw,plant_net_power_mw,closes_engineering_net,plant_net_margin_mw,aggressiveness_score,pitch_angle_scattering_s,mirror_stabilization_factor,direct_conversion_cap,collector_base_efficiency,collector_match_bonus,uncapped_direct_conversion_efficiency,is_direct_conversion_cap_limited,direct_conversion_efficiency,plug_coil_mass_coefficient_tonnes_per_t2,collector_aux_kw_per_m2,nozzle_aux_fraction_of_direct_power,mirror_ratio,transport_loss_multiplier,plug_field_t,collector_nozzle_load_mw,engineering_load_mw,gross_fusion_mw,rejected_heat_mw,radiator_area_m2,collector_area_m2,temperature_kev,ion_density_m3,confinement_s,warnings
50.0,1.7499813192169906,True,1.7499813192169906,3.0000000000000027,80.0,1.0,0.88,0.62,0.22,0.88,False,0.88,0.2,5.0,0.01,5.0,0.13917960675006308,52.88029640333215,6.839708855157371,48.25001868078301,606.4912011919226,601.7665854895338,30481.578864113602,302.64198474147656,200.0,2.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.8 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,1.3826631678983201,True,1.3826631678983201,3.0000000000000027,80.0,1.0,0.88,0.62,0.22,0.88,False,0.88,0.2,5.0,0.01,5.0,0.12334368540005046,52.88029640333215,6.897976770857776,48.61733683210168,611.6579383926505,607.2733981180163,30760.518152988272,305.2202110999016,200.0,2.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.9 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,4.0810902430814116,True,4.0810902430814116,4.0,80.0,2.0,0.88,0.58,0.3,0.9099999999999999,True,0.88,0.2,5.0,0.01,4.0,0.1102404735808355,50.055048396171,6.614586880172511,45.91890975691859,586.5291677319294,579.5832342519889,29357.914661875646,292.6808354058633,200.0,3.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.6 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,4.0810902430814116,True,4.0810902430814116,4.0,160.0,1.0,0.88,0.58,0.3,0.9099999999999999,True,0.88,0.2,5.0,0.01,4.0,0.1102404735808355,50.055048396171,6.614586880172511,45.91890975691859,586.5291677319294,579.5832342519889,29357.914661875646,292.6808354058633,200.0,3.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.6 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,3.8390289275355576,True,3.8390289275355576,4.0,80.0,2.0,0.88,0.58,0.3,0.9099999999999999,True,0.88,0.2,5.0,0.01,4.0,0.1001923788646684,50.055048396171,6.653409881650263,46.16097107246444,589.9716839703746,583.2496737236293,29543.632623956222,294.39866732965766,200.0,3.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.7 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,3.8390289275355576,True,3.8390289275355576,4.0,160.0,1.0,0.88,0.58,0.3,0.9099999999999999,True,0.88,0.2,5.0,0.01,4.0,0.1001923788646684,50.055048396171,6.653409881650263,46.16097107246444,589.9716839703746,583.2496737236293,29543.632623956222,294.39866732965766,200.0,3.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.7 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,3.424993054492411,True,3.424993054492411,4.0,80.0,2.0,0.88,0.58,0.3,0.9099999999999999,True,0.88,0.2,5.0,0.01,4.0,0.1102404735808355,42.304237122665725,6.7300309675070835,46.57500694550759,596.7658349177343,590.422380117492,29906.955249182753,297.78898086314524,200.0,2.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.7 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,3.424993054492411,True,3.424993054492411,4.0,160.0,1.0,0.88,0.58,0.3,0.9099999999999999,True,0.88,0.2,5.0,0.01,4.0,0.1102404735808355,42.304237122665725,6.7300309675070835,46.57500694550759,596.7658349177343,590.422380117492,29906.955249182753,297.78898086314524,200.0,2.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.7 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,3.069409259830251,True,3.069409259830251,4.0,80.0,2.0,0.88,0.58,0.3,0.9099999999999999,True,0.88,0.2,5.0,0.01,4.0,0.1001923788646684,42.304237122665725,6.786437454628463,46.93059074016975,601.7675153771982,595.7532719449163,30176.98353518587,300.2848431251532,200.0,2.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.8 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,3.069409259830251,True,3.069409259830251,4.0,160.0,1.0,0.88,0.58,0.3,0.9099999999999999,True,0.88,0.2,5.0,0.01,4.0,0.1001923788646684,42.304237122665725,6.786437454628463,46.93059074016975,601.7675153771982,595.7532719449163,30176.98353518587,300.2848431251532,200.0,2.5e+20,16.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.8 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,2.8742060572639723,True,2.8742060572639723,4.0,80.0,2.0,0.88,0.58,0.3,0.9199999999999999,True,0.88,0.2,5.0,0.01,5.0,0.09958980337503154,62.568810495213754,6.587294739354231,47.125793942736024,584.1091168761832,578.3759674553393,29296.762382969755,291.47321855549694,200.0,3.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.6 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,2.8742060572639723,True,2.8742060572639723,4.0,160.0,1.0,0.88,0.58,0.3,0.9199999999999999,True,0.88,0.2,5.0,0.01,5.0,0.09958980337503154,62.568810495213754,6.587294739354231,47.125793942736024,584.1091168761832,578.3759674553393,29296.762382969755,291.47321855549694,200.0,3.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.6 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,2.690298331568954,True,2.690298331568954,4.0,80.0,2.0,0.88,0.58,0.3,0.9199999999999999,True,0.88,0.2,5.0,0.01,5.0,0.09958980337503154,52.88029640333215,6.6905457598660405,47.309701668431046,593.2645994823296,587.6694068453332,29767.507539839033,296.0418477816832,200.0,2.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.7 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
50.0,2.690298331568954,True,2.690298331568954,4.0,160.0,1.0,0.88,0.58,0.3,0.9199999999999999,True,0.88,0.2,5.0,0.01,5.0,0.09958980337503154,52.88029640333215,6.6905457598660405,47.309701668431046,593.2645994823296,587.6694068453332,29767.507539839033,296.0418477816832,200.0,2.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 6.7 MW; v0.8 margin-recovery sensitivity recipe; closes under recovery assumptions
