family,feasible_screening_candidate,rejection_summary,target_screening_net_mw,plant_net_power_mw,closes_engineering_net,screening_net_power_mw,engineering_load_mw,gross_fusion_mw,rejected_heat_mw,radiator_area_m2,required_field_t,separatrix_radius_m,length_m,plasma_volume_m3,magnet_mass_proxy_tonnes,neutron_wall_load_mw_m2,temperature_kev,ion_density_m3,confinement_s,direct_conversion_efficiency,current_drive_fraction_of_gross_fusion,transport_loss_multiplier,profile_notes,warnings
mirror,True,,50.0,-24.690045196882103,False,49.99999999999999,74.6900451968821,1248.9953376671085,1267.3486396656624,64195.63405447321,12.51376209904275,0.8558777437532158,8.558777437532157,19.69631911964193,409.0978045771745,0.04910558925633342,200.0,3.5e+20,20.0,0.82,0.015,0.3,Linear mirror/nozzle case with better extraction and worse end losses.,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; geometry profile: mirror; plant-net comparison uses rough geometry-specific assumptions
frc,True,,50.0,-59.66698091930519,False,50.0,109.66698091930519,1773.5628083961137,1824.1092430999197,92397.50277107373,12.876554968774698,0.7585139910936024,4.551083946561614,6.992151611659723,140.4024283529589,0.13951072711644316,200.0,7e+20,20.0,0.78,0.02,0.15,Lead FRC architecture with compact high-beta plasma and end access.,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; geometry profile: frc; plant-net comparison uses rough geometry-specific assumptions
spherical_torus,False,no_positive_screening_net=80,50.0,-50.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.01,0.08,Spherical-torus baseline with better maturity but poorer direct conversion.,geometry profile: spherical_torus; no feasible screening-net candidate under current assumptions; rejections: no_positive_screening_net=80
