name,model_label,reaction,temperature_kev,ion_density_m3,confinement_s,plasma_volume_m3,triple_product_kev_s_m3,reactivity_m3_s,fusion_power_mw,charged_power_mw,neutron_power_mw,neutron_fraction_of_fusion_power,bremsstrahlung_loss_mw,transport_loss_mw,useful_power_mw,net_power_mw,gain_proxy,required_volume_for_target_m3,shielding_mass_proxy_tonnes,warnings,notes
lunar_infrastructure_dhe3,order_of_magnitude_trade_study,D-He3,100.0,2.5e+20,5.0,80.0,1.25e+23,2.4999999999999946e-22,928.0382846355825,924.9716184220667,3.066666213515619,0.0033044608873219307,1903.2958667138435,240.32649509999996,725.4181103856141,-1418.2042514282293,0.3384076054197325,inf,13.766664854062476,D-D side reactions included as neutron source; net power proxy is negative under current loss assumptions,Compact lunar base module using imported or locally supplied He3.
orbital_data_center_dhe3,order_of_magnitude_trade_study,D-He3,120.0,3e+20,6.0,180.0,2.16e+23,3.4142965785193246e-22,4098.414234582577,4087.5584119293717,10.855822653205047,0.0026487860991705517,6755.257957139756,648.88153677,3331.397759918727,-4072.74173399103,0.4499371956267104,inf,44.92329061282019,D-D side reactions included as neutron source; net power proxy is negative under current loss assumptions,High-density power architecture for orbital compute loads.
compact_space_reactor_dhe3,order_of_magnitude_trade_study,D-He3,90.0,2e+20,3.0,40.0,5.4e+22,1.9616304377062975e-22,233.9378946899439,232.8598873809641,1.0780073089798243,0.004608091863050197,577.8,144.19589705999996,172.69361922005635,-549.3022778399436,0.23918919750551573,inf,5.812029235919297,D-D side reactions included as neutron source; net power proxy is negative under current loss assumptions,Mobile space-power case where shielding mass matters most.
terrestrial_demonstrator_dhe3,order_of_magnitude_trade_study,D-He3,150.0,2.5e+20,8.0,120.0,3e+23,4.999999999999999e-22,2773.146953486626,2767.6269543022977,5.519999184328123,0.001990518092590777,3496.577777247883,337.959133734375,2304.873625653243,-1529.6632853290155,0.6010826546099994,inf,23.57999673731249,D-D side reactions included as neutron source; net power proxy is negative under current loss assumptions,Aggressive subsystem demonstrator assumption set.
dt_reference_power_block,order_of_magnitude_trade_study,D-T,15.0,1.5e+20,1.0,80.0,2.25e+21,2.4000000000000066e-22,304.3513960066016,60.56227676520017,243.97945782552065,0.8016373870032407,117.94293111501003,86.51753823600001,115.72585914447392,-88.73461020653612,0.5660060329109395,inf,977.4178313020826,high neutron power fraction; net power proxy is negative under current loss assumptions,D-T reference block for neutron and shielding comparison.
