family,target_screening_net_mw,plant_net_power_mw,closes_engineering_net,screening_net_power_mw,engineering_load_mw,gross_fusion_mw,rejected_heat_mw,radiator_area_m2,collector_nozzle_load_mw,thermal_conversion_efficiency,direct_conversion_efficiency,transport_loss_multiplier,loss_cone_fraction,pitch_angle_scattering_s,mirror_ratio,midplane_field_t,plug_field_t,separatrix_radius_m,length_m,plasma_volume_m3,magnet_mass_proxy_tonnes,plug_coil_mass_proxy_tonnes,effective_magnet_mass_proxy_tonnes,neutron_wall_load_mw_m2,collector_area_m2,alpha_collector_voltage_kv,proton_collector_voltage_kv,temperature_kev,ion_density_m3,confinement_s,warnings
mirror_nozzle,50.0,-18.191247506603645,False,50.0,68.19124750660364,904.431912780731,918.0817324362374,46504.04559799862,9.796162216790265,0.35,0.8352890535607258,0.13917960675006308,0.10557280900008412,80.0,5.0,12.51376209904275,62.568810495213754,0.7685699852005526,7.685699852005526,14.262646976241435,302.45294840125547,501.1015739886043,803.5545223898598,0.04409634703491821,451.31581234741225,1800.0,15000.0,200.0,3.5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; mirror leakage uses pitch-angle-scattering proxy; collector/nozzle auxiliary load included: 9.8 MW
frc,50.0,-86.89452174049262,False,50.0,136.89452174049262,2433.0405400232853,2507.398071406744,127008.46790144734,0.0,0.35,0.78,0.15,0.0,0.0,0.0,10.882675218105557,0.0,1.0547508332485862,6.328504999491518,18.800512152790407,248.88157416800772,0.0,248.88157416800772,0.09897780356642717,0.0,0.0,0.0,200.0,5e+20,20.0,D-D side reactions included as neutron source; plant-net includes first-order engineering loads; does not close plant-net power; bremsstrahlung dominates engineering design; v0.7 shared-grid/shared-accounting architecture comparison; FRC row uses same target/grid/engineering path
