p,z,is_prime,inv_alpha_0_pred,inv_alpha_0_frac_err,inv_alpha_0_ppm,inv_alpha_0_status,inv_alpha_MZ_pred,inv_alpha_MZ_frac_err,inv_alpha_MZ_status,v_EW_GeV_pred,v_EW_GeV_frac_err,v_EW_GeV_status,sin2_theta_W_pred,sin2_theta_W_frac_err,sin2_theta_W_status,m_e_MeV_pred,m_mu_MeV_pred,m_tau_MeV_pred,m_e_frac_err,m_mu_frac_err,m_e_status,m_mu_status,Omega_Lambda_pred,Omega_Lambda_frac_err,Omega_Lambda_status,M_GUT_GeV,alpha_GUT,composite_score,n_observables_scored,runtime_s
104707,4,True,136.0267212389686,0.007365056275561043,7365.056275561043,ok,126.9427212389686,0.007887948301170723,ok [non-independent of inv_alpha_0],212.17219093464578,0.13828206102410126,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787296724734167e+17,0.016663439248874028,0.09791877362134252,2,3.562199998441429e-05
104707,5,True,136.5267212389686,0.0037163799909191424,3716.3799909191425,ok,127.4427212389686,0.003980232907898245,ok [non-independent of inv_alpha_0],227.82035253883396,0.0747284845307694,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787296724734167e+17,0.013330751399099222,0.052906322308880746,2,2.8054999972937367e-05
104707,6,True,137.0267212389686,6.770370627724177e-05,67.70370627724176,ok,127.9427212389686,7.251751462576782e-05,ok [non-independent of inv_alpha_0],243.46851414302213,0.011174908037437516,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787296724734167e+17,0.011108959499249354,0.007901998273760544,2,2.6254999966113246e-05
104707,7,True,137.5267212389686,0.0035809725783646587,3580.9725783646586,ok,128.4427212389686,0.0038351978786467095,ok [non-independent of inv_alpha_0],259.1166757472103,0.05237866845589436,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787296724734167e+17,0.009521965285070873,0.03712376781672021,2,2.5968999977976637e-05
104707,8,True,138.0267212389686,0.007229648863006559,7229.64886300656,ok,128.9427212389686,0.0077429132719191865,ok [non-independent of inv_alpha_0],274.76483735139846,0.11593224494922612,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787296724734167e+17,0.008331719624437014,0.08213572073601635,2,2.4772000017492246e-05
104711,4,True,136.02760436766656,0.007358611774088049,7358.611774088049,ok,126.94360436766655,0.007881046269956282,ok [non-independent of inv_alpha_0],212.17549047431515,0.13826866024565365,ok,0.23121999999999998,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787231904476925e+17,0.016663227062934487,0.09790906897057533,2,2.730800002836986e-05
104711,5,True,136.52760436766656,0.0037099354894461482,3709.935489446148,ok,127.44360436766655,0.003973330876683805,ok [non-independent of inv_alpha_0],227.82385133881826,0.07471427447478572,ok,0.23121999999999998,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787231904476925e+17,0.01333058165034759,0.052896060494281937,2,5.227299999432944e-05
104711,6,True,137.02760436766656,6.125920480424777e-05,61.25920480424777,ok,127.94360436766655,6.561548341132769e-05,ok [non-independent of inv_alpha_0],243.47221220332136,0.011159888703917783,ok,0.23121999999999998,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787231904476925e+17,0.011108818041956323,0.007891351866885832,2,3.5009999976409745e-05
104711,7,True,137.52760436766656,0.003587417079837653,3587.4170798376526,ok,128.44360436766655,0.0038420999098611494,ok [non-independent of inv_alpha_0],259.12057306782447,0.05239449706695016,ok,0.23121999999999998,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787231904476925e+17,0.009521844035962563,0.03713524528129147,2,2.9473999973106402e-05
104711,8,True,138.02760436766656,0.007236093364479553,7236.093364479553,ok,128.94360436766655,0.007749815303133627,ok [non-independent of inv_alpha_0],274.7689339323275,0.11594888283781786,ok,0.23121999999999998,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787231904476925e+17,0.008331613531467243,0.08214774640401731,2,2.733100001250932e-05
