p,z,inv_alpha_0_pred,inv_alpha_0_frac_err,n_s_pred,n_s_frac_err,n_s_sigma,delta_CP_pred,delta_CP_frac_err,delta_CP_sigma,composite_3obs_score
104479,6,136.97633189010548,0.00043541255066807287,0.968152042135702,0.003370341108614438,0.7742957465957313,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024876848878052273
104491,6,136.97898646417303,0.00041604118777589176,0.9681532613479636,0.003371604671949078,0.7745860352294441,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024871505355314187
104513,6,136.98385246010758,0.00038053229984076864,0.9681554960856418,0.003373920702292254,0.775118115628999,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.00248630185630025
104527,6,136.9869485158344,0.00035793928962805314,0.968156917864896,0.0033753942013638864,0.775456634499051,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.00248585006084493
104537,6,136.9891597523039,0.00034180311749611197,0.9681579332660636,0.003376446539603696,0.7756983966818111,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002485569393605127
104543,6,136.99048640143974,0.00033212209101609415,0.9681585424446011,0.0033770778781232347,0.7758434391907403,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024854178121996627
104549,6,136.99181298102548,0.0003224415720677608,0.9681591515765238,0.003377709168332251,0.7759884706009021,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024852788454270158
104551,6,136.99225515876645,0.0003192148451935485,0.9681593546101402,0.003377919587667389,0.7760368119381581,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024852353264487727
104561,6,136.99446593157717,0.00030308205654318906,0.9681603697005501,0.003378971603845065,0.776278500130977,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024850387560986908
104579,6,136.9984448359691,0.00027404658835571133,0.9681621965371352,0.0033808648949478913,0.7767134612226715,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002484773228809708
104593,6,137.00153910690227,0.0002514666024115475,0.9681636171202119,0.003382337154328892,0.7770516952885591,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024846451861402614
104597,6,137.00242311482077,0.0002450156849562097,0.9681640229545249,0.003382757751606261,0.7771483225059241,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024846212130674736
104623,6,137.00816841367333,0.00020309021361317991,0.9681666603732564,0.003385491111261688,0.7777762793467625,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002484601961726478
104639,6,137.0117033339699,0.00017729465390476715,0.968168282965841,0.0033871727286154314,0.7781626109145309,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002484707730171845
104651,6,137.0143542001845,0.00015795034852286968,0.9681694996932031,0.003388433716657804,0.7784523079055037,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002484845829565674
104659,6,137.01612129007182,0.0001450552705934546,0.9681703107414358,0.0033892742682514253,0.7786454146275715,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024849658698062648
104677,6,137.02009679122438,0.00011604463704368232,0.9681721352977691,0.003391165196154163,0.7790798328021791,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024853177376170468
104681,6,137.02098015111926,0.00010959844844513796,0.9681725406979227,0.0033915853434788165,0.7791763566482643,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024854112997885446
104683,6,137.021421819504,0.00010637543852289399,0.9681727433902542,0.0033917954091140894,0.7792246167271869,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024854601758062295
104693,6,137.02363004581164,9.026123260335045e-05,0.9681737567744668,0.0033928456570285425,0.7794658986825811,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024857254989155155
104701,6,137.02539648813539,7.737088017370002e-05,0.9681745673889176,0.0033936857590606555,0.7796589021232444,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002485962879160896
104707,6,137.0267212389686,6.770370627724177e-05,0.9681751752955624,0.0033943157794200716,0.7798036418005779,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002486155561478512
