p,z,is_prime,inv_alpha_0_pred,inv_alpha_0_frac_err,inv_alpha_0_ppm,inv_alpha_0_status,inv_alpha_MZ_pred,inv_alpha_MZ_frac_err,inv_alpha_MZ_status,v_EW_GeV_pred,v_EW_GeV_frac_err,v_EW_GeV_status,sin2_theta_W_pred,sin2_theta_W_frac_err,sin2_theta_W_status,m_e_MeV_pred,m_mu_MeV_pred,m_tau_MeV_pred,m_e_frac_err,m_mu_frac_err,m_e_status,m_mu_status,Omega_Lambda_pred,Omega_Lambda_frac_err,Omega_Lambda_status,M_GUT_GeV,alpha_GUT,composite_score,n_observables_scored,runtime_s
104891,6,True,137.06731329776923,0.00022851085830403117,228.51085830403116,ok,127.98331329776923,0.00024472691141389375,ok [non-independent of inv_alpha_0],243.63853540224866,0.01048438225063494,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.78431819232196e+17,0.011102459910982451,0.007415338441021819,2,2.3038999984237307e-05
104879,6,True,137.0646679731256,0.00020920699171929672,209.20699171929672,ok,127.9806679731256,0.00022405255975371392,ok [non-independent of inv_alpha_0],243.62745263290645,0.010529393904205769,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.784512245291185e+17,0.011102883333650443,0.007446875302947869,2,2.357099998562262e-05
104869,6,True,137.06246332470636,0.00019311889491270434,193.11889491270435,ok,127.97846332470635,0.0002068222826243881,ok [non-independent of inv_alpha_0],243.6182163981893,0.010566906026361364,ok,0.23122000000000004,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.784673977300933e+17,0.011103236235220958,0.00747317863688285,2,2.5151999977879314e-05
104851,6,True,137.0584944735571,0.00016415678878149554,164.15678878149555,ok,127.97449447355709,0.00017580400116519216,ok [non-independent of inv_alpha_0],243.60158981553963,0.01063443337040197,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.784965143504367e+17,0.011103871571131359,0.007520575794472856,2,2.5648000018918538e-05
104849,6,True,137.0580534516768,0.00016093849663034214,160.93849663034214,ok,127.97405345167681,0.0001723572251845314,ok [non-independent of inv_alpha_0],243.59974230950175,0.010641936847121475,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.784997499161599e+17,0.011103942172987167,0.007525846166970841,2,2.7898999974240724e-05
104831,6,True,137.0540839089016,0.00013197134346068265,131.97134346068265,ok,127.97008390890159,0.00014133353837054224,ok [non-independent of inv_alpha_0],243.5831137832815,0.010709472084796095,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.785288734797775e+17,0.011104577670504108,0.007573315283629807,2,2.5115000028108625e-05
104827,6,True,137.05320170373076,0.00012553358129072705,125.53358129072706,ok,127.96920170373076,0.00013443872491842703,ok [non-independent of inv_alpha_0],243.57941831763276,0.010724480880380314,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.785353462316872e+17,0.011104718911932751,0.007583872652994463,2,2.771999999140462e-05
104803,6,True,137.04790782684017,8.690229516170538e-05,86.90229516170538,ok,127.96390782684017,9.306479648752829e-05,ok [non-independent of inv_alpha_0],243.5572437089158,0.010814541024629223,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.785741892276616e+17,0.011105566511437006,0.007647282183308421,2,3.50610000054985e-05
104801,6,True,137.04746662044582,8.368265654626583e-05,83.68265654626583,ok,127.96346662044581,8.961657844985646e-05,ok [non-independent of inv_alpha_0],243.55539568440156,0.010822046607093001,ok,0.23122000000000004,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.785774266458785e+17,0.011105637156410919,0.007652571317965608,2,2.7600000009897485e-05
104789,6,True,137.04481922054677,6.436364609103475e-05,64.36364609103475,ok,127.96081922054677,6.892600777454985e-05,ok [non-independent of inv_alpha_0],243.54430708345242,0.010867081945201753,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.785968527770988e+17,0.011106061064006549,0.007684322113324898,2,2.548700001625548e-05
