p,M_gut_GeV,inv_alpha_gut_BPR,inv_a3_SM_at_gut,ratio_BPR_SM,alpha_s_BPR,alpha_s_exp,alpha_s_err_pct,sin2_tw_BPR,sin2_tw_exp,sin2_tw_err_pct,SM_spread_at_gut,is_baseline
103951,6.799603632218397e+17,89.80026154171375,49.199207883367734,1.8252379541271353,0.020373728394003775,0.1179,82.7194839745515,0.2737027755862512,0.23122,18.37331354824462,14.027833186409453,0
103963,6.799407411506115e+17,89.80371689303423,49.19917573301895,1.8253093787659624,0.02037228087394187,0.1179,82.7207117269365,0.27370642787229643,0.23122,18.37489312010052,14.027782205142088,0
103967,6.799342010893292e+17,89.80486861772063,49.19916501706068,1.8253331857680757,0.020371798437825894,0.1179,82.72112091787456,0.2737076451806555,0.23122,18.375419592014307,14.027765212693978,0
103969,6.799309311766342e+17,89.80544446898605,49.199159659236145,1.8253450890421234,0.020371557232997668,0.1179,82.72132550212243,0.2737082538122774,0.23122,18.3756828182153,14.027756716715075,0
103979,6.799145827924835e+17,89.80832361454496,49.19913287165938,1.8254046031424684,0.02037035134113329,0.1179,82.72234831116769,0.2737112967448379,0.23122,18.37699885167282,14.027714239271923,0
103981,6.799113133514944e+17,89.80889942150479,49.19912751445318,1.825416505508593,0.020370110189212084,0.1179,82.72255285054106,0.27371190528624484,0.23122,18.37726203885686,14.027705744273518,0
103991,6.798949673255671e+17,89.81177834555692,49.19910072996772,1.8254760150697544,0.020368904561835724,0.1179,82.72357543525384,0.273714947767789,0.23122,18.378577877254983,14.027663271732287,0
103993,6.798916983561614e+17,89.81235410821958,49.19909537337969,1.8254879165281286,0.020368663462802722,0.1179,82.72377992976868,0.27371555621900445,0.23122,18.378841025432248,14.027654777714133,0
103997,6.798851606531028e+17,89.81350561139918,49.19908466051272,1.8255117189910584,0.02036818129117477,0.1179,82.72418889637424,0.27371677307634706,0.23122,18.37936730228659,14.027637790167923,0
104003,6.798753546878455e+17,89.8152328108075,49.199068591984805,1.8255474215509766,0.020367458099820213,0.1179,82.72480229022882,0.2737185982496504,0.23122,18.380156668822064,14.027612310073664,0
104009,6.79865549429703e+17,89.81695994378828,49.199052524383866,1.8255831227496404,0.020366734987757918,0.1179,82.7254156168296,0.2737204232877168,0.23122,18.380945976869118,14.02758683144932,0
104021,6.798459410343965e+17,89.82041401049274,49.1990203919625,1.8256545210637252,0.020365289001453686,0.1179,82.72664206831749,0.2737240729582095,0.23122,18.38252441752854,14.027535878609719,0
