p,z,inv_alpha_0_pred,inv_alpha_0_frac_err,inv_alpha_0_sigma,v_EW_pred,v_EW_frac_err,v_EW_sigma,n_s_pred,n_s_frac_err,n_s_sigma,delta_cp_pred,delta_cp_frac_err,delta_cp_sigma,score_core,score_all,score_core_sigma
107323,6,137.5978093229735,0.004099727390823165,26752868.522547282,245.86880401992036,0.001426350337420346,17.55979900398188,0.9684358820412966,0.0036645062092409814,0.841876676499196,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.003069384300158979,0.003133998673700996,18917134.74848939
106801,6,137.48487704612822,0.0032756207502312572,21375141.053724855,245.3927344491079,0.00335986333722725,41.36327754460467,0.9683845413897061,0.003611297947669301,0.8296527118347877,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0033180094141057994,0.00324333126724583,15114507.187936109
107941,6,137.73086376055124,0.005070672532735806,33088794.121487994,246.43059566594252,0.0008553150269779885,10.529783297126016,0.9684962359111003,0.0037270555613020677,0.856246645500087,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0036361575687541177,0.0034406093905003307,23397310.704590917
106367,6,137.3905985628258,0.0025876374178761792,16885689.46789544,244.9958350140867,0.004971834074865123,61.20824929566453,0.9683416004727476,0.003566794976420006,0.819428683987539,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.003963268945856617,0.0035761002818554205,11939985.527837574
108499,6,137.85040367289852,0.005942997419235177,38781170.899929814,246.9361534000596,0.002908591503775471,35.80767000297982,0.9685503357112202,0.003783123340470721,0.8691275502905235,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.004678628156889092,0.004034479213462161,27422428.925706465
105971,6,137.30426774211705,0.0019576509815687833,12774698.00557388,244.63282032372598,0.006446185022638368,79.35898381370095,0.9683022150355142,0.003525976821965166,0.8100511989319498,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.004763701224453756,0.004026014042639067,9033075.587525854
105527,6,137.2071214000458,0.0012487398726585856,8148681.7164664855,244.22481390810682,0.008103265745646878,99.75930459465872,0.9682578215810078,0.0034799684744614323,0.7994813288113896,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.005797510975157418,0.004646218694345293,5761988.09987608
109097,6,137.97789075250532,0.006873315587154307,44851984.21453907,247.47618598462233,0.005101884431087378,62.80929923111671,0.9686079033398286,0.0038427850967236213,0.8828341285306244,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.006052755236617045,0.004874823951532484,31715142.187803663
105229,6,137.141709945473,0.0007714094265711991,5033850.546333324,243.9503814638563,0.009217848006432036,113.4809268071848,0.9682278860626291,0.003448943996921055,0.7923538244355063,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0065407871993012415,0.005110673979338038,3559469.8576963837
105227,6,137.1412703710364,0.0007682016969268997,5012918.430304851,243.94853802752291,0.009225334954419155,113.57309862385421,0.9682276847713721,0.0034487353833269046,0.7923058979457454,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.006545874229940156,0.005113894299796098,3544668.61651332
