p,best_z,best_score_core,mean_score_core,min_score_core,n_s_pred,n_s_sigma
30013,12,0.16389625856175352,0.29173502196948,0.16389625856175352,0.9517325017348699,3.1351186345547823
30029,12,0.16377396097275798,0.291625981186251,0.16377396097275798,0.9517410758595991,3.1330771762859224
30047,12,0.16363645670232121,0.29150336228285295,0.16363645670232121,0.9517507144719137,3.130782268591965
30059,12,0.16354483454316043,0.2914216469004916,0.16354483454316043,0.9517571359373734,3.1292533482444163
30071,12,0.1634532502613574,0.2913399559447509,0.1634532502613574,0.9517635539856831,3.1277252415040118
30089,12,0.16331594484716208,0.2912174652811654,0.16331594484716208,0.9517731746579486,3.1254346052503195
30091,12,0.1633006939492725,0.29120385859612147,0.1633006939492725,0.951774243147837,3.1251802028959514
30097,12,0.16325494756606895,0.29116304260577414,0.16325494756606895,0.9517774480494482,3.1244171310837587
30103,12,0.1632092106480603,0.2911222327112802,0.1632092106480603,0.9517806520992866,3.1236542620746053
30109,12,0.16316348319460183,0.2910814289109385,0.16316348319460183,0.9517838552977482,3.122891595774227
30113,12,0.16313300348339554,0.2910542297621781,0.16313300348339554,0.9517859902905977,3.122383264143391
30119,12,0.16308729180276127,0.2910134361149805,0.16308729180276127,0.9517891920709777,3.1216209354815017
30133,12,0.1629806680134625,0.2909182746171194,0.1629806680134625,0.9517966595857401,3.1198429557761593
30137,12,0.16295021353537864,0.2908910917043381,0.16295021353537864,0.951798792311767,3.119335163864994
30139,12,0.1629349878731724,0.29087750126206835,0.1629349878731724,0.9517998585332502,3.119081301607086
30161,12,0.16276757496252928,0.29072805099911264,0.16276757496252928,0.9518115807467354,3.116290298396319
30169,12,0.1627067290702534,0.29067372571257205,0.1627067290702534,0.9518158405435955,3.115276061048693
30181,12,0.16261549175680937,0.2905922580332563,0.16261549175680937,0.9518222274157193,3.113755377209683
30187,12,0.16256988728499602,0.2905515333026691,0.16256988728499602,0.9518254195822077,3.112995337569596
30197,12,0.16249390084454815,0.2904836722407889,0.16249390084454815,0.951830737980195,3.111729052334515
30203,12,0.16244832158683778,0.290442963694379,0.16244832158683778,0.9518339278919304,3.1109695495403664
30211,12,0.1623875639496269,0.2903886950681846,0.1623875639496269,0.9518381797934904,3.109957192026093
30223,12,0.16229645900465065,0.2903073123401366,0.16229645900465065,0.9518445548318132,3.1084393257587615
30241,12,0.16215987247718025,0.2901852836968183,0.16215987247718025,0.9518541110639479,3.1061640323933513
30253,12,0.1620688620453357,0.2901039615475797,0.1620688620453357,0.9518604776730256,3.104648173089134
30259,12,0.16202337100360545,0.2900633095518383,0.16202337100360545,0.9518636597150303,3.1038905440404037
30269,12,0.16194757359752696,0.28999556967002166,0.16194757359752696,0.9518689612492961,3.102628273977115
30271,12,0.16193241726564037,0.28998202370976534,0.16193241726564037,0.9518700212759177,3.1023758866862603
30293,12,0.1617657668922308,0.2898330624782296,0.1617657668922308,0.9518816754090426,3.0996010930851
30307,12,0.1616597827746255,0.28973831125890004,0.1616597827746255,0.9518890858015858,3.097836713908133
30313,12,0.1616143767506195,0.28969771365645397,0.1616143767506195,0.9518922602870424,3.097080884037511
30319,12,0.16156898017022062,0.28965712208940086,0.16156898017022062,0.951895433934821,3.09632525361404
30323,12,0.16153872102946362,0.28963006439687644,0.16153872102946362,0.9518975492348212,3.0958216107568592
30341,12,0.16140260682850588,0.28950833795291636,0.16140260682850588,0.9519070634827895,3.0935563136215363
30347,12,0.16135725431101833,0.2894677745291425,0.16135725431101833,0.9519102332265137,3.092801612734831
30367,12,0.16120614743120443,0.28933260662855387,0.16120614743120443,0.9519207930069992,3.090287379285908
30389,12,0.1610400509930979,0.28918399919897614,0.1610400509930979,0.9519323980604297,3.08752427132625
30391,12,0.16102495760849886,0.2891704934435318,0.16102495760849886,0.9519334525098041,3.0872732119513997
30403,12,0.1609344193190467,0.28908947294128456,0.1609344193190467,0.9519397772636506,3.0857673181784135
30427,12,0.1607534559632664,0.28892750405169665,0.1607534559632664,0.9519524167915648,3.082757906770272
30431,12,0.16072331007927823,0.288900518579334,0.16072331007927823,0.9519545220871982,3.0822566459051814
30449,12,0.16058770548195003,0.28877911696338493,0.16058770548195003,0.9519639913535302,3.080002058683291
30469,12,0.16043713326377157,0.28864428959073835,0.16043713326377157,0.951974504010731,3.077499045064037
30491,12,0.16027162484273047,0.28849605638493886,0.16027162484273047,0.95198605731198,3.0747482590523645
30493,12,0.16025658490854763,0.28848258463132814,0.16025658490854763,0.9519871070609378,3.0744983188243267
30497,12,0.16022650818289008,0.2884556431194507,0.16022650818289008,0.9519892062834722,3.0739985039351936
30517,12,0.16007618740421412,0.28832097545134927,0.16007618740421412,0.9519996968921719,3.0715007399590672
30529,12,0.1599860452117002,0.28824020674625667,0.1599860452117002,0.9520059868582531,3.0700031289873513
30539,12,0.15991095551784226,0.28817291775410986,0.15991095551784226,0.9520112259790107,3.06875571928317
30557,12,0.15977586003974947,0.2880518393799616,0.15977586003974947,0.9520206506345548,3.0665117536774322
30559,12,0.15976085466643528,0.28803838954417715,0.15976085466643528,0.9520216973615662,3.0662625329604323
30593,12,0.15950592349947218,0.28780984375095586,0.15950592349947218,0.9520394777576541,3.062029105320454
30631,12,0.1592213584104772,0.2875546366595381,0.1592213584104772,0.9520593188120681,3.0573050447456938
30643,12,0.15913157423859303,0.28747409454265793,0.15913157423859303,0.952065577590975,3.055814859291665
30649,12,0.1590866962785105,0.2874338324040935,0.1590866962785105,0.9520687057550723,3.0550700583161152
30671,12,0.15892222432016798,0.28728625540878094,0.15892222432016798,0.9520801687081177,3.052340783781487
30677,12,0.1588773903011956,0.2872460209974474,0.1588773903011956,0.952083293065505,3.0515968891654746
30697,12,0.15872801156498567,0.28711194916282334,0.15872801156498567,0.9520937017084962,3.0491186408342417
30707,12,0.15865336142075584,0.28704493796491115,0.15865336142075584,0.9520989026398364,3.047880323848464
30727,12,0.15850413957113643,0.28691096497131297,0.15850413957113643,0.952109297730789,3.0454053021930894
30763,12,0.15823580375776714,0.2866699794125413,0.15823580375776714,0.9521279861794764,3.040955671553243
30781,12,0.1581017628830754,0.2865495664995374,0.1581017628830754,0.9521373194724155,3.038733458948678
30809,12,0.157893423157277,0.2863623632272537,0.157893423157277,0.9521518234728574,3.0352801255101314
30829,12,0.15774473449270165,0.2862287253130626,0.15774473449270165,0.9521621727170244,3.0328160197560874
30841,12,0.15765557145809916,0.2861485740203994,0.15765557145809916,0.9521683779675767,3.031338579148401
30853,12,0.1575664460433974,0.28606844630442674,0.1575664460433974,0.9521745799997422,3.0298619048232815
30869,12,0.1574476706725291,0.28596164600319535,0.1574476706725291,0.95218284437463,3.02789419651667
30881,12,0.15735863302765424,0.2858815732512579,0.15735863302765424,0.9521890389085758,3.026419307481958
30911,12,0.1571362034603777,0.28568149431170836,0.1571362034603777,0.9522045112118765,3.0227354257436745
30941,12,0.15691400892740692,0.2854815622755905,0.15691400892740692,0.9522199635063769,3.019056308005485
30971,12,0.15669204939281592,0.28528177695085455,0.15669204939281592,0.952235395837315,3.0153819434964286
31013,12,0.1563817007766942,0.28500232360719574,0.1563817007766942,0.952256967647671,3.010245798173571
31033,12,0.1562340775596718,0.28486935137076014,0.1562340775596718,0.9522672262524738,3.0078032732205093
31063,12,0.15601283848001388,0.2846700147709893,0.15601283848001388,0.9522825976423711,3.0041434184830647
31081,12,0.15588020777122236,0.28455048287334644,0.15588020777122236,0.952291810978534,3.0019497670157116
31123,12,0.15557106490057548,0.28427177919644997,0.15557106490057548,0.9523132811233956,2.996837827762939
31147,12,0.15539461847382566,0.2841126480798039,0.15539461847382566,0.9523255324406442,2.993920847465658
31159,12,0.1553064516122323,0.2840331174263448,0.1553064516122323,0.9523316533802152,2.99246348090114
31183,12,0.15513023058508726,0.2838741258694343,0.15513023058508726,0.952343885835378,2.9895509915766643
31219,12,0.15486618076317638,0.2836358127304738,0.15486618076317638,0.9523622110004486,2.9851878570360433
31247,12,0.15466104238147807,0.28345060240479836,0.15466104238147807,0.9523764444384069,2.9817989432364587
31259,12,0.15457318852655477,0.2833712651712599,0.15457318852655477,0.952382539278411,2.980347790854522
31277,12,0.15444147815933504,0.28325230273317925,0.15444147815933504,0.9523916756914244,2.978172454422768
31327,12,0.15407605935494706,0.2829221245441189,0.15407605935494706,0.9524170178752104,2.9721386011403808
31357,12,0.15385712098688212,0.2827242100904591,0.15385712098688212,0.952432197313547,2.968524449155471
31393,12,0.1535947047080128,0.28248690297116397,0.1535947047080128,0.9524503870999749,2.964193547625026
31481,12,0.1529546651987384,0.2819076906499017,0.1529546651987384,0.9524947341760471,2.9536347199887736
31517,12,0.15269341275361611,0.2816710959856356,0.15269341275361611,0.9525128285497985,2.949326535762266
31543,12,0.1525049405546815,0.2815003502888956,0.1525049405546815,0.9525258795790458,2.9462191478462394
31601,12,0.1520851376240437,0.28111984294708087,0.1520851376240437,0.9525549417952318,2.9392995725638493
31649,12,0.15173837771544776,0.28080534364492177,0.15173837771544776,0.9525789395526617,2.933585820794827
31687,12,0.15146428543578438,0.28055662357443506,0.15146428543578438,0.9525979033876192,2.9290706219954283
31727,12,0.15117617394815003,0.2802950593849074,0.15117617394815003,0.9526178325883631,2.9243255741992624
31771,12,0.15085973311680637,0.28000763019515157,0.15085973311680637,0.9526397160516371,2.9191152258006836
31849,12,0.15030001041222027,0.2794988452978537,0.15030001041222027,0.952678410327188,2.9099023030504645
31891,12,0.1499992783871413,0.279225279844073,0.1499992783871413,0.9526991934103084,2.904953949926567
31981,12,0.1493564018071672,0.2786399981308803,0.1493564018071672,0.9527436059492617,2.8943795358900757
32029,12,0.14901439823568216,0.2783283651741221,0.14901439823568216,0.9527672245551642,2.888756058294243
32069,12,0.14872985444670292,0.2780689452849963,0.14872985444670292,0.9527868707044228,2.884078403708851
32119,12,0.1483747618410735,0.2777450203800036,0.1483747618410735,0.9528113824936914,2.878242263406817
32183,12,0.1479211954436641,0.27733096275393393,0.1479211954436641,0.952842683446239,2.870789655657373
32237,12,0.14753933056372912,0.2769820950893744,0.14753933056372912,0.9528690291389867,2.864516871669818
32299,12,0.14710183219958686,0.276582098987546,0.14710183219958686,0.9528992054284713,2.8573320408401655
32341,12,0.14680603285369093,0.27631147067547573,0.14680603285369093,0.9529196035850113,2.852475336902075
32377,12,0.14655285741673368,0.2760797196694709,0.14655285741673368,0.9529370596273029,2.848319136356446
32441,12,0.1461036041473788,0.27566820956678945,0.1461036041473788,0.9529680287823799,2.840945528004793
32503,12,0.14566941133904296,0.2752701580849162,0.14566941133904296,0.9529979525666183,2.833820817471818
32569,12,0.14520831104204432,0.2748470719842558,0.14520831104204432,0.9530297234013685,2.826256333007498
32611,12,0.14491547712068345,0.27457818155835906,0.14491547712068345,0.9530498965447026,2.821453203642228
32707,12,0.14424787692392513,0.2739645833776389,0.14424787692392513,0.9530958767825508,2.810505527964088
32783,12,0.14372107260967257,0.273479810627294,0.14372107260967257,0.9531321503753626,2.801868958246999
32843,12,0.1433062442453632,0.27309771307176794,0.1433062442453632,0.9531607083141427,2.795069449013643
32939,12,0.14264448373872327,0.27248748757846236,0.14264448373872327,0.9532062566254237,2.7842246129943558
32999,12,0.142232112406673,0.27210680142421156,0.142232112406673,0.9532346345355187,2.777467967733636
33073,12,0.14172482420274105,0.27163803308729323,0.14172482420274105,0.9532695393550265,2.769157296422269
33161,12,0.1411234376414982,0.27108164650130867,0.1411234376414982,0.9533109124893558,2.759306550153366
33247,12,0.14053768919721962,0.2705390224685678,0.14053768919721962,0.9533512041307216,2.7497133022091362
33347,12,0.13985903828358576,0.2699094487687498,0.13985903828358576,0.9533978804967984,2.7385998817146593
33427,12,0.13931801816486725,0.2694068583724165,0.13931801816486725,0.9534350874223301,2.729741089921406
33529,12,0.13863067110369454,0.2687674287387447,0.13863067110369454,0.9534823544208592,2.718487042652577
33599,12,0.138160555715575,0.2683294925058479,0.138160555715575,0.9535146817634714,2.710790056316322
33679,12,0.13762487122104305,0.26782987653366647,0.13762487122104305,0.9535515175154877,2.702019639169585
33769,12,0.13702425644220007,0.2672689308637424,0.13702425644220007,0.9535928185383201,2.692186062304729
33871,12,0.1363461625787974,0.26663462470006893,0.1363461625787974,0.953639449304413,2.681083498949276
33997,12,0.1355123428535323,0.26585316380403246,0.1355123428535323,0.9536967941760529,2.667429958082636
34147,12,0.13452522689094978,0.2649258584139487,0.13452522689094978,0.9537646935106737,2.6512634498395853
34259,12,0.13379210780718623,0.26423559178958783,0.13379210780718623,0.9538151328857055,2.6392540748320146
34351,12,0.133192421147834,0.2636699389240651,0.133192421147834,0.9538564010361429,2.6294283247278796
34471,12,0.132413642947783,0.2629339572589596,0.132413642947783,0.9539100081233683,2.6166647325313415
34589,12,0.13165163146786618,0.26221225154766326,0.13165163146786618,0.9539624796739227,2.6041715062088837
34693,12,0.13098315008428968,0.2615778184750068,0.13098315008428968,0.9540085282943505,2.593207548964173
34843,12,0.1300241622046385,0.26066547813897645,0.1300241622046385,0.9540746213807063,2.577471099831826
34981,12,0.12914730279824235,0.25982893872721774,0.12914730279824235,0.9541350928236695,2.5630731372215467
35117,12,0.12828824299044414,0.25900715081684544,0.12828824299044414,0.9541943774725156,2.5489577446391465
35279,12,0.12727157462012634,0.2580316472120589,0.12727157462012634,0.9542645976994789,2.532238642981207
35419,12,0.1263987983126011,0.25719157756009103,0.1263987983126011,0.9543249364176557,2.517872281510543
35543,12,0.12563029851432625,0.25644979783479455,0.12563029851432625,0.9543781143248464,2.5052108750365605
35771,12,0.124228416595894,0.2550914516707361,0.124228416595894,0.9544752504447862,2.4820832274318514
35923,12,0.12330191012680645,0.254189880808535,0.12330191012680645,0.9545395504265906,2.466773707954625
36073,12,0.1223939716851522,0.2533032914317299,0.1223939716851522,0.9546026497076082,2.451750069617086
36263,12,0.12125306457062254,0.2521847089804952,0.12125306457062254,0.954682075063021,2.4328392707092688
36457,12,0.12009875871621106,0.25104766687140667,0.12009875871621106,0.9547626020601054,2.4136661761653677
36599,12,0.1192607028530399,0.2502186463945629,0.1192607028530399,0.9548211832255209,2.399718279637877
36767,12,0.11827672614596266,0.24924136603227495,0.11827672614596266,0.9548901003802471,2.383309433274488
36923,12,0.11737038467883669,0.24833730936358425,0.11737038467883669,0.9549537199699752,2.368161911910651
37117,12,0.11625321621080159,0.2472176104596689,0.11625321621080159,0.9550323384653226,2.3494432225422215
37321,12,0.11509045476856782,0.24604564961029318,0.11509045476856782,0.9551144206542158,2.3298998442343257
37517,12,0.11398497687589364,0.24492489719283544,0.11398497687589364,0.9551927223890367,2.3112565740388664
37691,12,0.11301326482251825,0.24393424076100026,0.11301326482251825,0.9552617794990185,2.2948144049955976
37957,12,0.11154555534367537,0.24242757633178702,0.11154555534367537,0.9553665320204687,2.269873328459822
