p,z,inv_alpha_0_pred,inv_alpha_0_frac_err,inv_alpha_0_sigma,v_EW_pred,v_EW_frac_err,v_EW_sigma,n_s_pred,n_s_frac_err,n_s_sigma,delta_cp_pred,delta_cp_frac_err,delta_cp_sigma,score_core,score_all,score_core_sigma
30013,2,107.70149835931716,0.21406419423192186,1396880986.8896592,106.36710753179233,0.5679997257258048,6992.644623410383,0.9517325017348699,0.013646490066462933,3.1351186345547823,0.9934460576052707,0.16935948360763314,4.501198719882872,0.4292127489233932,0.3151650476558789,987744018.3526107
30013,3,108.20149835931716,0.21041551794727995,1373071463.0801353,116.68460932698626,0.5260961362724952,6476.769533650688,0.9517325017348699,0.013646490066462933,3.1351186345547823,1.0707963267948966,0.10468534548921689,2.7823038490022975,0.40065685741908247,0.28818270378581046,970908142.6084993
30013,4,108.70149835931716,0.20676684166263806,1349261939.2706115,127.0021111221802,0.4841925468191853,5960.89444389099,0.9517325017348699,0.013646490066462933,3.1351186345547823,1.1235827312949387,0.0605495557734626,1.6092726378902504,0.37228681765971205,0.26506953078479667,954072266.8644718
30013,5,109.20149835931716,0.20311816537799615,1325452415.4610877,137.31961291737412,0.4422889573658756,5445.019354131294,0.9517325017348699,0.013646490066462933,3.1351186345547823,1.1625480363310334,0.02796986928843355,0.7433769704214783,0.3441485950242397,0.24384680190309163,937236391.1205326
30013,6,109.70149835931716,0.19946948909335424,1301642891.651564,147.63711471256804,0.40038536791256585,4929.144264371598,0.9517325017348699,0.013646490066462933,3.1351186345547823,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.3163040625076166,0.22376872187249713,920400515.3766868
30013,7,110.20149835931716,0.19582081280871236,1277833367.84204,157.95461650776198,0.358481778459256,4413.269174611901,0.9517325017348699,0.013646490066462933,3.1351186345547823,1.2172429362016228,0.017761652342494043,0.4720652489249528,0.28883816941011786,0.2045462534498283,903564639.6329395
30013,8,110.70149835931716,0.19217213652407045,1254023844.0325162,168.2721183029559,0.3165781890059463,3897.3940848522047,0.9517325017348699,0.013646490066462933,3.1351186345547823,1.2374629934615633,0.03466805473374862,0.9213998547014077,0.26187008211182755,0.18610479609662597,886728763.8892962
30013,9,111.20149835931716,0.18852346023942854,1230214320.2229924,178.58962009814985,0.27467459955263646,3381.5189950925073,0.9517325017348699,0.013646490066462933,3.1351186345547823,1.2545685607780586,0.048970368543527265,1.3015235728457468,0.23557082873315258,0.16850189493479856,869892888.145763
30013,10,111.70149835931716,0.18487478395478665,1206404796.4134686,188.90712189334377,0.23277101009932674,2865.6439053328113,0.9517325017348699,0.013646490066462933,3.1351186345547823,1.2692849822171328,0.06127506874342213,1.6285551603807304,0.2101916136350234,0.15190613024630958,853057012.4023466
30013,11,112.20149835931716,0.18122610767014474,1182595272.6039448,199.22462368853772,0.1908674206460169,2349.768815573114,0.9517325017348699,0.013646490066462933,3.1351186345547823,1.2821211922000837,0.07200768578602319,1.9138042711129721,0.18610920767836078,0.13660582698838947,836221136.6590538
30013,12,112.70149835931716,0.17757743138550283,1158785748.794421,209.54212548373164,0.14896383119270717,1833.893725813418,0.9517325017348699,0.013646490066462933,3.1351186345547823,1.2934462286822819,0.08147677983468389,2.165471748495154,0.16389625856175352,0.12303318605608606,819385260.9158924
30029,2,107.71248762962718,0.21398400165199047,1396357688.3034678,106.39150548687269,0.567900635663745,6991.424725656366,0.9517410758595991,0.013637604042285081,3.1330771762859224,0.9934460576052707,0.16935948360763314,4.501198719882872,0.429127186828267,0.3151066898219328,987373990.3737298
30029,3,108.21248762962718,0.21033532536734859,1372548164.493944,116.71084038441737,0.5259896012329731,6475.4579807791315,0.9517410758595991,0.013637604042285081,3.1330771762859224,1.0707963267948966,0.10468534548921689,2.7823038490022975,0.4005658558231158,0.2881193396436715,970538114.6296178
30029,4,108.71248762962718,0.20668664908270667,1348738640.68442,127.03017528196206,0.484078566802201,5959.491235901897,0.9517410758595991,0.013637604042285081,3.1330771762859224,1.1235827312949387,0.0605495557734626,1.6092726378902504,0.37219042823957127,0.2650017276805421,953702238.8855897
30029,5,109.21248762962718,0.20303797279806476,1324929116.8748963,137.34951017950675,0.442167532371429,5443.524491024662,0.9517410758595991,0.013637604042285081,3.1330771762859224,1.1625480363310334,0.02796986928843355,0.7433769704214783,0.3440469045649055,0.24377491816910357,936866363.1416501
