p,inv_alpha_pred,inv_alpha_err_ppm,v_EW_pred,v_EW_err_pct,core_score_pct,n_s_pred,n_s_sigma,dist_from_lo,dist_from_hi,is_baseline,curvature,robustness,classification
103981,136.86592071,1241.122,242.795877,1.390676,0.987265,0.96810128,0.7622,0.00687,0.99313,0,1e-10,0.00967136,fragile-edge
110587,138.29278597,9171.217,248.813908,1.053492,0.987663,0.96874953,0.9166,0.99298,0.00702,0,6e-11,0.00973109,fragile-edge
103979,136.86547632,1244.365,242.79402,1.39143,0.987817,0.96810108,0.7622,0.00657,0.99343,0,9.9e-11,0.00967136,fragile-edge
110597,138.29488623,9186.543,248.822848,1.057123,0.990312,0.96875047,0.9168,0.99448,0.00552,0,5.9e-11,0.00973109,fragile-edge
103969,136.86325425,1260.58,242.784735,1.395201,0.990575,0.96810005,0.7619,0.00508,0.99492,0,9.9e-11,0.00969812,fragile-edge
103967,136.86280981,1263.823,242.782878,1.395956,0.991127,0.96809985,0.7619,0.00478,0.99522,0,9.9e-11,0.00969812,fragile-edge
110603,138.29614631,9195.739,248.828212,1.059302,0.991901,0.96875104,0.9169,0.99537,0.00463,0,5.9e-11,0.00973109,fragile-edge
103963,136.86192091,1270.31,242.779164,1.397464,0.992231,0.96809944,0.7618,0.00418,0.99582,0,9.8e-11,0.00969812,fragile-edge
110609,138.29740632,9204.933,248.833576,1.06148,0.993491,0.9687516,0.917,0.99627,0.00373,0,5.8e-11,0.00973109,fragile-edge
103951,136.85925402,1289.771,242.76802,1.40199,0.995543,0.96809821,0.7615,0.00239,0.99761,0,nan,0.00971146,fragile-edge
110623,138.3003461,9226.386,248.846091,1.066563,0.997201,0.96875292,0.9174,0.99836,0.00164,0,5.8e-11,0.00974353,fragile-edge
110629,138.3016059,9235.579,248.851455,1.068741,0.998791,0.96875348,0.9175,0.99925,0.00075,0,nan,0.00974353,fragile-edge
