round,seed,accuracy,loss,density,condition
0,0,0.974,0.0792665503501892,1.0,winning_ticket
1,0,0.9756,0.07447228918075562,0.8000075654410652,winning_ticket
2,0,0.9796,0.06666676630973815,0.6400079437131184,winning_ticket
3,0,0.9791,0.06519771709442139,0.5120101376910274,winning_ticket
4,0,0.9783,0.06600180377960205,0.40961189287335453,winning_ticket
5,0,0.9791,0.0628654447555542,0.3276970797397488,winning_ticket
6,0,0.9797,0.05955875878334045,0.26216144651233164,winning_ticket
0,1,0.9739,0.08506906576156616,1.0,winning_ticket
1,1,0.9755,0.0759796552658081,0.8000075654410652,winning_ticket
2,1,0.98,0.06415950622558594,0.6400079437131184,winning_ticket
3,1,0.9756,0.0764839038848877,0.5120101376910274,winning_ticket
4,1,0.9785,0.06720474319458007,0.40961189287335453,winning_ticket
5,1,0.9775,0.0713830753326416,0.3276970797397488,winning_ticket
6,1,0.9805,0.06229502863883972,0.26216144651233164,winning_ticket
0,2,0.9749,0.08029220733642578,1.0,winning_ticket
1,2,0.9786,0.07097073163986206,0.8000075654410652,winning_ticket
2,2,0.9792,0.06378911280632019,0.6400079437131184,winning_ticket
3,2,0.9787,0.06446988840103149,0.5120101376910274,winning_ticket
4,2,0.9801,0.0625070707321167,0.40961189287335453,winning_ticket
5,2,0.9805,0.06119365801811218,0.3276970797397488,winning_ticket
6,2,0.9773,0.07281908073425293,0.26216144651233164,winning_ticket
0,3,0.9784,0.06971250042915345,1.0,winning_ticket
1,3,0.9781,0.0671848919391632,0.8000075654410652,winning_ticket
2,3,0.9803,0.06574330444335938,0.6400079437131184,winning_ticket
3,3,0.9777,0.06954536538124084,0.5120101376910274,winning_ticket
4,3,0.9788,0.06552882709503174,0.40961189287335453,winning_ticket
5,3,0.9799,0.062227412605285644,0.3276970797397488,winning_ticket
6,3,0.9774,0.06931129169464112,0.26216144651233164,winning_ticket
0,4,0.9722,0.0895640887260437,1.0,winning_ticket
1,4,0.977,0.07026793575286865,0.8000075654410652,winning_ticket
2,4,0.9781,0.06916935291290283,0.6400079437131184,winning_ticket
3,4,0.9727,0.08553373899459839,0.5120101376910274,winning_ticket
4,4,0.9802,0.0618599823474884,0.40961189287335453,winning_ticket
5,4,0.9803,0.0642953950881958,0.3276970797397488,winning_ticket
6,4,0.9753,0.07329055662155151,0.26216144651233164,winning_ticket
0,5,0.9768,0.07336086673736572,1.0,winning_ticket
1,5,0.9769,0.07613118076324463,0.8000075654410652,winning_ticket
2,5,0.9759,0.06940950012207031,0.6400079437131184,winning_ticket
3,5,0.9763,0.07332566452026368,0.5120101376910274,winning_ticket
4,5,0.9787,0.06548182210922242,0.40961189287335453,winning_ticket
5,5,0.9804,0.062052884197235106,0.3276970797397488,winning_ticket
6,5,0.9828,0.05636437168121338,0.26216144651233164,winning_ticket
0,6,0.9761,0.07663478603363037,1.0,winning_ticket
1,6,0.9719,0.08675411939620972,0.8000075654410652,winning_ticket
2,6,0.9745,0.07838560695648193,0.6400079437131184,winning_ticket
3,6,0.9728,0.077581627368927,0.5120101376910274,winning_ticket
4,6,0.976,0.07294796237945557,0.40961189287335453,winning_ticket
5,6,0.9776,0.06805046505928039,0.3276970797397488,winning_ticket
6,6,0.978,0.06687143888473511,0.26216144651233164,winning_ticket
0,7,0.9745,0.08038791542053222,1.0,winning_ticket
1,7,0.9791,0.06760388259887695,0.8000075654410652,winning_ticket
2,7,0.9767,0.07184402737617493,0.6400079437131184,winning_ticket
3,7,0.9807,0.06416954517364502,0.5120101376910274,winning_ticket
4,7,0.9779,0.07150309782028198,0.40961189287335453,winning_ticket
5,7,0.9801,0.0629218258857727,0.3276970797397488,winning_ticket
6,7,0.9772,0.06576692991256713,0.26216144651233164,winning_ticket
